MATR_ALUNO,ANO,PERIODO,SITUACAO,MEDIA_FINAL,NUM_FALTAS,DISCIPLINA
30,2013,2,Reprovado por Frequencia,0,52,2
31,2013,2,Aprovado,63,18,4
32,2016,1,Aprovado,89,2,4
33,2014,2,Reprovado por Frequencia,0,68,4
33,2016,1,Reprovado por Frequencia,0,42,4
34,2013,1,Reprovado,44,12,2
35,2013,1,Reprovado por Frequencia,0,60,2
35,2013,1,Reprovado por Frequencia,0,58,4
36,2013,1,Reprovado por Frequencia,11,29,2
36,2013,2,Reprovado por Frequencia,11,42,2
36,2014,1,Reprovado por Frequencia,22,20,2
36,2015,1,Reprovado por Frequencia,0,72,2
36,2016,2,Reprovado,0,16,2
36,2017,1,Reprovado por Frequencia,0,60,2
36,2013,2,Aprovado,60,16,5
37,2013,1,Aprovado,60,18,2
37,2014,2,Reprovado,53,18,4
37,2013,2,Reprovado,35,4,5
38,2016,1,Equivalencia curricular,-1,-1,4
39,2013,1,Reprovado por Frequencia,40,24,2
39,2014,1,Reprovado por Frequencia,51,32,2
39,2013,1,Reprovado por Frequencia,43,39,3
39,2013,2,Aprovado,60,18,3
39,2013,2,Reprovado por Frequencia,32,30,5
40,2013,1,Reprovado por Frequencia,0,30,2
40,2013,1,Reprovado por Frequencia,0,64,5
41,2013,1,Aprovado,60,2,2
41,2016,1,Reprovado,15,0,4
41,2013,2,Reprovado,15,13,5
42,2013,1,Reprovado,37,12,2
42,2014,1,Reprovado,37,10,2
42,2014,2,Reprovado por Frequencia,0,52,2
43,2013,1,Aprovado,68,2,2
43,2016,1,Aprovado,86,0,4
44,2013,1,Reprovado,19,14,2
44,2013,1,Reprovado por Frequencia,45,20,3
44,2013,2,Reprovado por Frequencia,0,68,3
44,2013,1,Reprovado por Frequencia,6,32,4
45,2015,1,Aprovado,84,16,4
46,2013,1,Reprovado,44,16,2
46,2013,2,Reprovado por Frequencia,34,32,2
46,2014,1,Aprovado,73,12,2
46,2014,1,Reprovado,57,14,4
46,2013,2,Reprovado,23,12,5
46,2014,2,Reprovado,0,12,5
47,2013,1,Reprovado por Frequencia,4,19,2
47,2013,2,Trancamento parcial,-1,-1,2
47,2013,1,Reprovado,15,18,4
47,2013,1,Aprovado,72,14,5
48,2013,1,Aprovado,73,8,2
48,2014,2,Aprovado,100,4,4
49,2013,1,Reprovado,27,14,2
50,2013,2,Aprovado,78,16,4
51,2013,1,Reprovado,36,14,2
52,2013,1,Aprovado,87,16,2
52,2013,1,Reprovado por Frequencia,18,23,3
52,2014,1,Reprovado por Frequencia,36,22,3
52,2014,1,Reprovado por Frequencia,32,28,5
52,2014,2,Reprovado,0,14,5
53,2013,1,Aprovado,68,18,2
53,2013,1,Reprovado por Frequencia,33,20,4
53,2014,2,Aprovado,62,6,4
53,2013,1,Aprovado,72,14,5
54,2017,1,Aprovado,65,4,4
55,2013,1,Aprovado,94,5,2
56,2013,1,Aprovado,64,10,2
56,2014,1,Aprovado,70,12,4
57,2013,1,Reprovado por Frequencia,7,22,2
57,2013,1,Reprovado por Frequencia,28,26,3
57,2013,2,Reprovado por Frequencia,0,60,3
57,2013,1,Aprovado,64,10,5
58,2013,2,Reprovado por Frequencia,0,72,1
58,2013,2,Reprovado por Frequencia,0,47,2
58,2013,2,Reprovado por Frequencia,0,58,5
59,2013,1,Aprovado,69,10,2
60,2013,2,Reprovado,34,12,2
61,2013,1,Trancamento parcial,-1,-1,5
62,2013,2,Reprovado por Frequencia,0,32,2
63,2013,1,Trancamento parcial,-1,-1,2
64,2013,2,Reprovado por Frequencia,29,30,2
65,2017,2,Aprovado,74,8,3
66,2013,1,Dispensado,-1,-1,1
66,2013,1,Dispensado,-1,-1,2
66,2013,1,Dispensado,-1,-1,3
66,2013,1,Dispensado,-1,-1,4
66,2013,1,Dispensado,-1,-1,5
67,2013,1,Aprovado,91,3,2
67,2016,2,Aprovado,75,4,4
68,2013,1,Aprovado,68,3,2
68,2014,1,Aprovado,69,10,4
69,2013,1,Reprovado por Frequencia,29,21,2
69,2013,2,Reprovado,46,10,2
69,2014,1,Aprovado,75,10,2
69,2013,1,Reprovado,26,14,5
69,2013,2,Aprovado,78,12,5
70,2013,1,Reprovado por Frequencia,26,30,2
70,2013,2,Reprovado por Frequencia,34,26,2
70,2014,1,Aprovado,78,10,2
71,2013,1,Reprovado,18,10,2
71,2013,2,Reprovado,21,10,2
71,2013,2,Reprovado,54,12,5
72,2013,2,Aprovado,100,2,4
73,2013,1,Aprovado,70,8,2
74,2013,2,Aprovado,86,10,3
75,2013,1,Reprovado por Frequencia,0,64,2
75,2013,2,Reprovado por Frequencia,0,46,2
75,2014,1,Reprovado por Frequencia,0,52,2
75,2014,2,Reprovado por Frequencia,0,26,2
75,2015,1,Reprovado por Frequencia,0,70,2
75,2014,1,Reprovado por Frequencia,0,66,4
76,2013,1,Reprovado por Frequencia,16,40,2
76,2013,2,Reprovado,44,14,2
76,2014,2,Reprovado por Frequencia,46,20,2
77,2013,1,Equivalencia curricular,-1,-1,2
77,2013,2,Aprovado,73,10,4
78,2013,2,Reprovado por Frequencia,0,64,4
78,2013,2,Reprovado por Frequencia,0,54,5
79,2013,1,Reprovado por Frequencia,0,32,1
80,2013,1,Reprovado,46,14,2
80,2013,2,Aprovado,61,16,2
80,2013,1,Equivalencia curricular,36,-1,4
80,2013,1,Equivalencia curricular,18,-1,5
81,2013,1,Aprovado,84,12,1
82,2013,1,Reprovado por Frequencia,39,28,2
82,2013,2,Reprovado,48,12,2
82,2014,1,Aprovado,60,18,2
82,2014,1,Aprovado,60,18,4
82,2013,1,Reprovado,25,18,5
82,2013,2,Aprovado,68,18,5
83,2013,2,Aprovado,60,16,2
83,2013,1,Reprovado por Frequencia,18,68,5
83,2013,2,Aprovado,80,10,5
84,2013,1,Reprovado por Frequencia,4,24,2
84,2013,2,Reprovado por Frequencia,7,34,2
84,2015,1,Reprovado,23,14,2
84,2016,1,Reprovado,28,14,2
84,2016,2,Reprovado por Frequencia,21,26,2
84,2017,1,Reprovado,30,18,2
84,2017,2,Reprovado por Frequencia,5,40,2
84,2013,1,Reprovado por Frequencia,6,22,4
84,2016,1,Reprovado por Frequencia,39,28,4
84,2017,1,Reprovado,5,2,4
84,2017,2,Reprovado por Frequencia,23,24,4
84,2013,1,Aprovado,92,2,5
85,2013,2,Aprovado,90,10,1
85,2013,1,Trancamento parcial,-1,-1,2
85,2013,2,Reprovado por Frequencia,15,42,2
85,2014,1,Reprovado por Frequencia,0,52,2
85,2013,1,Reprovado por Frequencia,18,33,3
85,2013,2,Aprovado,89,8,3
85,2013,1,Trancamento parcial,-1,-1,4
85,2014,1,Reprovado por Frequencia,0,72,4
85,2013,1,Trancamento parcial,-1,-1,5
85,2014,1,Reprovado por Frequencia,0,70,5
86,2013,1,Reprovado por Frequencia,5,22,2
86,2013,2,Reprovado por Frequencia,6,34,2
86,2013,1,Reprovado por Frequencia,6,34,4
86,2013,1,Aprovado,96,2,5
87,2013,1,Reprovado por Frequencia,8,42,2
87,2013,2,Reprovado por Frequencia,0,46,2
87,2014,1,Reprovado por Frequencia,0,38,5
88,2013,1,Reprovado por Frequencia,10,26,2
88,2013,2,Reprovado,12,18,2
88,2014,1,Reprovado por Frequencia,31,24,2
88,2014,2,Reprovado por Frequencia,0,46,2
88,2013,1,Reprovado,40,16,5
88,2013,2,Aprovado,68,18,5
89,2013,1,Reprovado por Frequencia,20,24,2
89,2013,2,Reprovado por Frequencia,34,38,2
89,2014,1,Reprovado por Frequencia,0,52,2
90,2013,1,Reprovado por Frequencia,14,21,2
90,2013,2,Reprovado,49,0,2
90,2014,1,Aprovado,74,2,2
90,2016,1,Reprovado por Frequencia,29,24,4
90,2017,1,Reprovado por Frequencia,0,62,4
91,2013,1,Reprovado por Frequencia,0,42,2
91,2013,2,Reprovado por Frequencia,0,50,2
92,2013,1,Reprovado por Frequencia,5,19,2
92,2013,2,Reprovado,2,18,2
92,2014,2,Reprovado por Frequencia,0,38,2
92,2014,1,Reprovado por Frequencia,3,48,5
92,2014,2,Reprovado,0,14,5
93,2013,2,Reprovado por Frequencia,5,58,1
93,2013,2,Reprovado por Frequencia,0,54,3
94,2013,1,Reprovado por Frequencia,14,36,2
95,2013,1,Reprovado,21,12,2
95,2013,2,Reprovado,40,8,2
95,2014,1,Reprovado,57,6,2
95,2014,2,Reprovado,23,10,2
96,2013,1,Dispensado,-1,-1,1
96,2013,1,Dispensado,-1,-1,2
96,2013,1,Dispensado,-1,-1,3
96,2013,1,Dispensado,-1,-1,4
96,2013,1,Dispensado,-1,-1,5
97,2013,1,Reprovado por Frequencia,0,58,2
97,2014,2,Reprovado por Frequencia,0,38,2
98,2014,1,Reprovado,25,6,2
98,2014,2,Aprovado,62,2,2
98,2014,1,Reprovado,52,4,4
98,2014,2,Aprovado,83,2,4
98,2014,1,Aprovado,69,2,5
99,2013,1,Trancamento parcial,-1,-1,2
99,2013,1,Equivalencia curricular,-1,-1,2
99,2013,2,Reprovado por Frequencia,20,48,4
100,2013,2,Reprovado por Frequencia,0,52,2
100,2013,2,Reprovado por Frequencia,0,65,5
101,2013,1,Reprovado,13,12,2
101,2013,2,Aprovado,60,4,2
101,2016,1,Reprovado por Frequencia,0,40,4
101,2013,1,Reprovado,29,2,5
101,2013,2,Aprovado,70,18,5
102,2013,1,Reprovado,43,14,2
102,2013,2,Reprovado,37,18,2
103,2013,1,Aprovado,64,8,2
103,2015,1,Aprovado,60,12,4
104,2013,1,Reprovado,25,8,2
104,2013,2,Reprovado,22,16,2
104,2014,1,Aprovado,60,10,2
104,2013,1,Reprovado,41,12,5
104,2013,2,Aprovado,60,7,5
105,2013,1,Dispensado,-1,-1,1
105,2013,1,Aprovado,69,18,2
105,2013,1,Dispensado,-1,-1,4
105,2013,1,Dispensado,-1,-1,5
106,2013,1,Aprovado,62,8,2
106,2013,1,Reprovado por Frequencia,16,28,4
106,2013,1,Aprovado,70,6,5
107,2013,1,Reprovado por Frequencia,0,44,2
107,2013,1,Reprovado por Frequencia,5,40,5
108,2013,1,Reprovado,56,10,2
108,2014,1,Reprovado,34,6,2
108,2015,1,Reprovado,36,8,2
108,2016,1,Reprovado,8,16,4
108,2013,1,Aprovado,71,2,5
109,2013,1,Aprovado,90,10,1
109,2013,1,Reprovado,14,8,2
109,2013,2,Reprovado por Frequencia,0,62,2
109,2013,1,Aprovado,60,15,3
109,2013,1,Reprovado por Frequencia,11,42,4
109,2013,1,Reprovado,30,18,5
109,2013,2,Reprovado por Frequencia,0,60,5
110,2013,1,Aprovado,83,2,1
110,2013,1,Dispensado,-1,-1,2
110,2013,1,Dispensado,-1,-1,3
110,2013,1,Reprovado,37,16,4
110,2014,1,Aprovado,84,14,4
110,2013,1,Aprovado,61,0,5
111,2013,1,Reprovado por Frequencia,39,20,1
111,2013,1,Reprovado,15,16,2
111,2013,1,Reprovado por Frequencia,34,22,3
111,2013,1,Reprovado por Frequencia,15,36,4
111,2013,1,Reprovado por Frequencia,23,34,5
112,2013,1,Reprovado por Frequencia,8,28,1
112,2013,1,Reprovado por Frequencia,0,24,2
112,2013,1,Reprovado por Frequencia,54,48,3
112,2013,1,Reprovado por Frequencia,0,54,4
112,2013,1,Reprovado por Frequencia,0,58,5
113,2013,1,Aprovado,88,0,1
113,2013,1,Aprovado,90,0,2
113,2013,1,Aprovado,76,0,3
113,2013,1,Aprovado,100,2,4
113,2013,1,Aprovado,76,2,5
114,2013,1,Aprovado,87,2,1
114,2013,1,Reprovado,33,6,2
114,2013,2,Aprovado,62,12,2
114,2013,1,Aprovado,76,11,3
114,2013,1,Reprovado,24,18,4
114,2016,1,Aprovado,95,12,4
114,2013,1,Aprovado,60,0,5
115,2013,1,Aprovado,95,4,1
115,2013,1,Aprovado,100,0,2
115,2013,1,Aprovado,90,10,3
115,2013,1,Aprovado,100,2,4
115,2013,1,Aprovado,93,2,5
116,2013,1,Aprovado,90,10,1
116,2013,1,Reprovado,38,8,2
116,2013,2,Aprovado,70,6,2
116,2013,1,Reprovado por Frequencia,60,23,3
116,2013,1,Reprovado por Frequencia,6,32,4
116,2013,1,Reprovado,44,8,5
116,2013,2,Aprovado,95,8,5
117,2013,1,Aprovado,88,6,1
117,2013,1,Reprovado,26,8,2
117,2013,2,Aprovado,75,6,2
117,2013,1,Aprovado,80,6,3
117,2013,1,Aprovado,60,10,4
117,2013,1,Aprovado,60,4,5
118,2013,1,Aprovado,82,12,1
118,2013,1,Reprovado,15,10,2
118,2014,1,Reprovado por Frequencia,25,34,2
118,2014,2,Aprovado,86,10,2
118,2013,1,Reprovado por Frequencia,26,32,3
118,2013,2,Aprovado,80,10,3
118,2013,1,Reprovado por Frequencia,0,44,4
118,2017,1,Reprovado,0,2,4
118,2013,1,Reprovado por Frequencia,35,22,5
118,2013,2,Aprovado,75,16,5
119,2013,1,Aprovado,95,2,1
119,2013,1,Reprovado,54,0,2
119,2013,2,Aprovado,75,4,2
119,2013,1,Aprovado,89,4,3
119,2013,1,Aprovado,60,2,4
119,2013,1,Aprovado,60,0,5
120,2013,1,Aprovado,89,6,1
120,2013,1,Aprovado,78,4,2
120,2013,1,Aprovado,92,10,3
120,2013,1,Aprovado,94,12,4
120,2013,1,Aprovado,69,6,5
121,2013,1,Aprovado,95,2,1
121,2013,1,Reprovado,32,6,2
121,2013,1,Aprovado,80,0,3
121,2013,1,Reprovado,38,10,4
121,2014,2,Reprovado por Frequencia,33,24,4
121,2013,1,Aprovado,60,0,5
122,2013,1,Reprovado,27,18,1
122,2013,1,Reprovado por Frequencia,6,30,2
122,2013,1,Reprovado,46,10,3
122,2013,1,Reprovado por Frequencia,0,46,4
122,2013,1,Reprovado por Frequencia,38,20,5
123,2013,1,Aprovado,85,14,1
123,2013,1,Aprovado,62,10,2
123,2013,1,Aprovado,77,16,3
123,2013,1,Aprovado,61,14,4
123,2013,1,Aprovado,60,16,5
124,2013,1,Aprovado,95,2,1
124,2013,1,Reprovado,35,0,2
124,2013,2,Aprovado,74,10,2
124,2013,1,Aprovado,94,0,3
124,2013,1,Aprovado,60,2,4
124,2013,1,Aprovado,66,0,5
125,2013,1,Aprovado,88,0,1
125,2013,1,Aprovado,76,2,2
125,2013,1,Aprovado,81,8,3
125,2013,1,Aprovado,82,10,4
125,2013,1,Aprovado,80,4,5
126,2013,1,Reprovado por Frequencia,0,32,1
126,2013,1,Reprovado por Frequencia,0,30,2
126,2013,1,Reprovado por Frequencia,0,36,3
126,2013,1,Reprovado por Frequencia,0,62,4
126,2013,1,Reprovado por Frequencia,0,78,5
127,2013,1,Aprovado,95,5,1
127,2013,1,Reprovado,27,2,2
127,2013,2,Aprovado,65,10,2
127,2013,1,Aprovado,84,12,3
127,2013,1,Aprovado,66,10,4
127,2013,1,Aprovado,63,2,5
128,2013,1,Aprovado,88,12,1
128,2013,1,Reprovado,15,18,2
128,2013,2,Reprovado por Frequencia,0,58,2
128,2013,1,Aprovado,77,10,3
128,2013,1,Reprovado por Frequencia,15,20,4
128,2013,1,Reprovado por Frequencia,28,20,5
129,2013,1,Dispensado,-1,-1,1
129,2013,1,Reprovado,20,10,2
129,2013,2,Reprovado por Frequencia,20,26,2
129,2013,1,Dispensado,-1,-1,3
129,2013,1,Dispensado,-1,-1,4
129,2013,1,Dispensado,-1,-1,5
130,2013,1,Reprovado por Frequencia,0,32,1
130,2013,1,Reprovado por Frequencia,0,26,2
130,2013,1,Reprovado por Frequencia,0,57,3
130,2013,1,Reprovado por Frequencia,0,54,4
130,2013,1,Reprovado por Frequencia,0,78,5
131,2013,1,Aprovado,95,2,1
131,2013,1,Reprovado,18,4,2
131,2013,2,Trancamento parcial,-1,-1,2
131,2016,1,Reprovado por Frequencia,0,36,2
131,2013,1,Aprovado,77,8,3
131,2013,1,Aprovado,75,0,4
131,2013,1,Aprovado,66,0,5
132,2013,1,Reprovado por Frequencia,0,28,1
132,2014,2,Reprovado por Frequencia,25,42,1
132,2013,1,Reprovado,23,18,2
132,2013,1,Reprovado por Frequencia,42,34,3
132,2014,2,Reprovado por Frequencia,0,42,3
132,2013,1,Reprovado por Frequencia,0,44,4
132,2014,2,Reprovado por Frequencia,0,72,4
132,2013,1,Reprovado por Frequencia,26,48,5
132,2014,2,Reprovado,0,12,5
133,2013,1,Aprovado,89,10,1
133,2013,1,Aprovado,82,14,2
133,2013,1,Aprovado,70,10,3
133,2013,1,Reprovado por Frequencia,12,20,4
133,2016,1,Reprovado por Frequencia,0,42,4
133,2013,1,Reprovado,49,10,5
134,2013,1,Aprovado,94,8,1
134,2013,1,Aprovado,60,0,2
134,2013,1,Reprovado por Frequencia,0,28,3
134,2017,1,Trancamento parcial,-1,-1,3
134,2013,1,Aprovado,66,16,4
134,2013,1,Aprovado,60,0,5
135,2013,1,Aprovado,95,4,1
135,2013,1,Aprovado,100,0,2
135,2013,1,Aprovado,90,4,3
135,2013,1,Aprovado,92,4,4
135,2013,1,Aprovado,79,4,5
136,2013,1,Aprovado,95,10,1
136,2013,1,Aprovado,70,4,2
136,2013,1,Aprovado,65,5,3
136,2013,1,Reprovado,30,10,4
136,2014,2,Aprovado,100,18,4
136,2013,1,Aprovado,72,0,5
137,2013,1,Reprovado por Frequencia,3,30,1
137,2013,2,Reprovado por Frequencia,0,72,1
137,2013,1,Reprovado por Frequencia,0,30,2
137,2013,2,Reprovado por Frequencia,0,44,2
137,2013,1,Reprovado por Frequencia,0,54,3
137,2013,1,Reprovado por Frequencia,0,56,4
137,2013,1,Reprovado por Frequencia,0,58,5
137,2013,2,Reprovado por Frequencia,0,58,5
137,2014,2,Reprovado,0,14,5
138,2013,1,Aprovado,88,2,1
138,2013,1,Reprovado,32,8,2
138,2013,2,Reprovado por Frequencia,34,20,2
138,2013,1,Aprovado,65,10,3
138,2013,1,Reprovado,2,12,4
138,2013,1,Reprovado,33,8,5
138,2013,2,Reprovado por Frequencia,30,30,5
139,2013,1,Aprovado,88,4,1
139,2013,1,Aprovado,67,6,2
139,2013,1,Aprovado,69,14,3
139,2013,1,Aprovado,75,8,4
139,2013,1,Reprovado,56,4,5
140,2013,1,Dispensado,-1,-1,1
140,2013,1,Dispensado,-1,-1,2
140,2013,1,Dispensado,-1,-1,3
140,2013,1,Dispensado,-1,-1,4
140,2013,1,Dispensado,-1,-1,5
141,2013,1,Aprovado,87,18,1
141,2013,1,Dispensado,-1,-1,2
141,2013,1,Aprovado,73,16,3
141,2013,1,Reprovado por Frequencia,18,24,4
141,2014,2,Aprovado,70,12,4
141,2013,1,Dispensado,-1,-1,5
142,2013,1,Dispensado,-1,-1,1
142,2013,1,Dispensado,-1,-1,2
142,2013,1,Aprovado,68,16,3
142,2013,1,Aprovado,62,16,4
142,2013,1,Dispensado,-1,-1,5
143,2013,1,Aprovado,89,8,1
143,2013,1,Reprovado,32,6,2
143,2013,2,Reprovado por Frequencia,42,20,2
143,2014,1,Reprovado por Frequencia,15,24,2
143,2013,1,Aprovado,89,2,3
143,2013,1,Reprovado,15,18,4
143,2013,2,Reprovado,49,12,4
143,2014,2,Reprovado por Frequencia,22,22,4
143,2013,1,Reprovado,47,0,5
143,2013,2,Aprovado,61,12,5
144,2013,1,Aprovado,95,8,1
144,2013,1,Aprovado,80,6,2
144,2013,1,Aprovado,95,4,3
144,2013,1,Aprovado,81,6,4
144,2013,1,Aprovado,80,4,5
145,2013,1,Aprovado,95,2,1
145,2013,1,Aprovado,70,2,2
145,2013,1,Aprovado,96,0,3
145,2013,1,Aprovado,84,0,4
145,2013,1,Aprovado,75,0,5
146,2013,1,Aprovado,95,2,1
146,2013,1,Reprovado,41,0,2
146,2013,2,Reprovado,54,4,2
146,2014,1,Aprovado,68,10,2
146,2013,1,Aprovado,87,2,3
146,2013,1,Reprovado,46,4,4
146,2013,2,Aprovado,71,10,4
146,2013,1,Reprovado,44,0,5
146,2013,2,Aprovado,88,8,5
147,2013,1,Aprovado,90,12,1
147,2013,1,Reprovado,17,6,2
147,2013,2,Reprovado,27,18,2
147,2014,2,Reprovado por Frequencia,3,28,2
147,2013,1,Aprovado,75,12,3
147,2013,1,Reprovado por Frequencia,16,36,4
147,2013,1,Reprovado,49,4,5
147,2013,2,Aprovado,89,10,5
148,2013,1,Aprovado,95,4,1
148,2013,1,Reprovado,33,6,2
148,2013,2,Reprovado,34,12,2
148,2014,1,Reprovado por Frequencia,0,51,2
148,2013,1,Aprovado,89,2,3
148,2013,1,Reprovado,36,6,4
148,2013,1,Aprovado,63,4,5
149,2013,1,Aprovado,95,10,1
149,2013,1,Reprovado,49,2,2
149,2013,2,Aprovado,76,8,2
149,2013,1,Aprovado,82,4,3
149,2013,1,Aprovado,67,6,4
149,2013,1,Aprovado,67,12,5
150,2013,1,Aprovado,95,10,1
150,2013,1,Aprovado,70,4,2
150,2013,1,Aprovado,87,12,3
150,2013,1,Aprovado,78,6,4
150,2013,1,Aprovado,69,2,5
151,2013,1,Aprovado,90,8,1
151,2013,1,Reprovado,30,10,2
151,2013,2,Reprovado,41,12,2
151,2014,2,Reprovado por Frequencia,5,36,2
151,2015,1,Reprovado por Frequencia,0,72,2
151,2013,1,Aprovado,62,8,3
151,2013,1,Reprovado por Frequencia,11,32,4
151,2013,1,Reprovado,47,4,5
151,2013,2,Aprovado,73,8,5
152,2013,1,Aprovado,88,2,1
152,2013,1,Reprovado,16,8,2
152,2013,2,Aprovado,81,14,2
152,2013,1,Aprovado,61,8,3
152,2013,1,Reprovado,23,16,4
152,2013,1,Aprovado,60,0,5
153,2013,1,Aprovado,89,4,1
153,2013,1,Reprovado,7,4,2
153,2014,2,Reprovado por Frequencia,12,23,2
153,2013,1,Aprovado,68,0,3
153,2013,1,Reprovado,11,18,4
153,2013,2,Reprovado,40,8,4
153,2014,2,Aprovado,67,12,4
153,2013,1,Reprovado,38,6,5
153,2013,2,Aprovado,75,10,5
154,2013,1,Aprovado,89,6,1
154,2013,1,Reprovado,32,12,2
154,2013,2,Reprovado por Frequencia,37,24,2
154,2014,1,Reprovado por Frequencia,6,44,2
154,2013,1,Aprovado,82,10,3
154,2013,1,Reprovado,26,18,4
154,2013,2,Aprovado,67,16,4
154,2013,1,Reprovado,50,4,5
154,2013,2,Aprovado,84,18,5
155,2013,1,Reprovado por Frequencia,0,22,1
155,2013,1,Reprovado por Frequencia,0,26,2
155,2013,2,Reprovado por Frequencia,0,56,2
155,2013,1,Reprovado por Frequencia,29,42,3
155,2013,1,Reprovado por Frequencia,0,54,4
155,2013,1,Reprovado por Frequencia,3,52,5
155,2013,2,Reprovado por Frequencia,0,66,5
156,2013,1,Aprovado,89,6,1
156,2013,1,Aprovado,81,10,2
156,2013,1,Aprovado,97,10,3
156,2013,1,Aprovado,78,14,4
156,2013,1,Aprovado,84,0,5
157,2013,1,Aprovado,87,4,1
157,2013,1,Aprovado,93,2,2
157,2013,1,Aprovado,81,4,3
157,2013,1,Reprovado,18,10,4
157,2016,1,Aprovado,100,2,4
157,2013,1,Aprovado,60,2,5
158,2013,1,Aprovado,90,10,1
158,2013,1,Reprovado,11,6,2
158,2014,1,Reprovado,27,16,2
158,2014,2,Aprovado,79,8,2
158,2013,1,Reprovado,56,4,3
158,2013,2,Aprovado,77,6,3
158,2013,1,Reprovado por Frequencia,23,30,4
158,2013,1,Reprovado,29,8,5
158,2013,2,Aprovado,100,10,5
159,2013,1,Aprovado,88,6,1
159,2013,1,Reprovado,41,10,2
159,2013,2,Aprovado,86,4,2
159,2013,1,Aprovado,67,12,3
159,2013,1,Reprovado por Frequencia,16,24,4
159,2013,1,Aprovado,63,6,5
160,2013,1,Aprovado,93,14,1
160,2013,1,Reprovado por Frequencia,15,20,2
160,2014,1,Reprovado por Frequencia,0,50,2
160,2015,1,Reprovado por Frequencia,0,59,2
160,2016,1,Reprovado por Frequencia,5,24,2
160,2016,2,Reprovado por Frequencia,0,26,2
160,2013,1,Reprovado por Frequencia,49,23,3
160,2013,2,Reprovado por Frequencia,0,64,3
160,2015,2,Aprovado,87,0,3
160,2013,1,Reprovado por Frequencia,12,40,4
160,2016,1,Reprovado por Frequencia,22,24,4
160,2013,1,Reprovado,7,18,5
160,2013,2,Reprovado por Frequencia,0,62,5
160,2014,1,Reprovado por Frequencia,0,66,5
160,2014,2,Aprovado,60,4,5
161,2013,1,Aprovado,95,4,1
161,2013,1,Aprovado,82,2,2
161,2013,1,Aprovado,92,2,3
161,2013,1,Aprovado,82,2,4
161,2013,1,Aprovado,73,0,5
162,2013,1,Aprovado,87,0,1
162,2013,1,Reprovado,15,2,2
162,2013,2,Aprovado,70,6,2
162,2013,1,Aprovado,77,4,3
162,2013,1,Reprovado,16,8,4
162,2013,1,Reprovado,36,2,5
162,2013,2,Equivalencia curricular,-1,-1,5
163,2013,1,Aprovado,87,0,1
163,2013,1,Reprovado,24,4,2
163,2013,2,Reprovado por Frequencia,55,24,2
163,2014,1,Reprovado por Frequencia,23,36,2
163,2014,2,Reprovado por Frequencia,15,41,2
163,2013,1,Aprovado,77,12,3
163,2013,1,Reprovado,36,16,4
163,2014,2,Reprovado por Frequencia,32,56,4
163,2013,1,Aprovado,60,4,5
164,2013,1,Aprovado,89,10,1
164,2013,1,Aprovado,80,2,2
